year,mileage,trim,is_amg,is_wagon,is_coupe,is_cabriolet,is_sedan,is_manual,price
2018.0,23000.0,C63,1,0,1,0,0,0,5400004152026
1996.0,40000.0,C280,0,0,0,0,1,0,590304102026
2012.0,46000.0,C350,0,0,1,0,0,0,1325004052026
2023.0,5000.0,C63,1,0,1,0,0,0,9000003242026
2005.0,19000.0,C240,0,1,0,0,0,0,1200003222026
1999.0,30500.0,C43,1,1,0,0,0,0,2175903222026
2008.0,40000.0,C350,0,0,0,0,1,0,1125003212026
2012.0,8500.0,C63,1,0,0,0,1,0,1300003202026
2012.0,26000.0,C63,1,0,1,0,0,0,3725003172026
2020.0,2700.0,C63,1,0,0,0,1,0,5050003152026
2008.0,25500.0,C300,0,0,0,0,1,0,705003082026
2013.0,44000.0,C63,1,0,0,0,1,0,3500003032026
2003.0,32500.0,C320,0,1,0,0,0,1,930002262026
2012.0,4200.0,C63,1,0,1,0,0,0,4500002262026
2004.0,32000.0,C240,0,1,0,0,0,0,380002242026
2023.0,900.0,C63,1,0,1,0,0,0,8700002242026
2015.0,42000.0,C300,0,0,0,0,1,0,1085002202026
2012.0,46000.0,C350,0,0,1,0,0,0,1025002202026
2012.0,8500.0,C63,1,0,1,0,0,0,3000002172026
1998.0,24000.0,C280,0,0,0,0,1,0,577502162026
2010.0,5000.0,C63,1,1,0,0,0,0,3450002082026
2005.0,37500.0,C55,1,0,0,0,1,0,1350002082026
2003.0,32000.0,C240,0,0,0,0,1,0,350002082026
2017.0,30500.0,C43,1,0,0,0,1,0,1900002062026
2012.0,46000.0,C250,0,0,0,0,1,0,600002042026
2012.0,46000.0,C350,0,0,0,0,1,0,880002032026
2004.0,32000.0,C240,0,0,0,0,1,0,435002012026
1998.0,22000.0,C43,1,0,0,0,1,0,5300001282026
2000.0,42000.0,C230,0,0,0,0,1,0,1150001272026
2019.0,3900.0,C63,1,0,0,1,0,0,5550001252026
2003.0,27000.0,C240,0,0,0,0,1,0,600001242026
2017.0,24000.0,C300,0,0,0,0,1,0,1175001242026
2014.0,39000.0,C63,1,0,0,0,1,0,3900001222026
2007.0,30000.0,C230,0,0,0,0,1,0,830001222026
2006.0,32000.0,C230,0,0,0,0,1,0,633801182026
1997.0,30500.0,C280,0,0,0,0,1,0,400001182026
2003.0,40000.0,C32,1,0,0,0,1,0,560001092026
2009.0,25000.0,C63,1,1,0,0,0,0,1635001072026
2018.0,12000.0,C63,1,0,1,0,0,0,5000001062026
2012.0,46000.0,C250,0,0,0,0,1,0,640001052026
1999.0,27000.0,C230,0,0,0,0,1,0,1311112282025
2019.0,30500.0,C300,0,0,0,0,1,0,2025012262025
2015.0,31000.0,C350,0,0,1,0,0,0,1925012262025
2014.0,16000.0,C300,0,0,0,0,1,0,1625012232025
2012.0,6000.0,C63,1,0,0,0,1,0,16200012182025
2002.0,38000.0,C240,0,0,0,0,1,0,680512152025
1999.0,41000.0,C280,0,0,0,0,1,0,939912142025
1998.0,20000.0,C230,0,0,0,0,1,0,375012122025
2005.0,43000.0,C240,0,0,0,0,1,0,1000012092025
2009.0,25000.0,C63,1,1,0,0,0,0,1900011262025
2023.0,154.0,C63,1,0,1,0,0,0,10600011172025
2006.0,27000.0,C55,1,0,0,0,1,0,750011162025
2012.0,30500.0,C300,0,0,0,0,1,0,520011152025
2003.0,32000.0,C240,0,1,0,0,0,0,1000011152025
2013.0,28000.0,C300,0,0,0,0,1,0,1426311102025
2004.0,32000.0,C240,0,1,0,0,0,0,550011082025
2007.0,36000.0,C230,0,0,0,0,1,0,1350011052025
2014.0,14000.0,C63,1,0,0,0,1,0,2525011052025
2009.0,17000.0,C350,0,0,0,0,1,0,760011042025
2011.0,50000.0,C300,0,0,0,0,1,0,750011022025
2005.0,35000.0,C55,1,0,0,0,1,0,1450010302025
2017.0,24000.0,C300,0,0,0,0,1,0,1200010302025
1996.0,50000.0,C280,0,0,0,0,1,0,652310282025
2006.0,27000.0,C55,1,0,0,0,1,0,1661410282025
2004.0,30500.0,C320,0,0,1,0,0,0,660010232025
2007.0,38000.0,C280,0,0,0,0,1,0,660010222025
2006.0,46000.0,C230,0,0,0,0,1,0,710010212025
2008.0,25500.0,C300,0,0,0,0,1,1,1160010182025
2023.0,900.0,C63,1,0,1,0,0,0,10500010152025
2011.0,32000.0,C63,1,0,0,0,1,0,3825010132025
2015.0,42000.0,C300,0,0,0,0,1,0,1300010092025
2009.0,30000.0,C63,1,0,0,0,1,0,2600010062025
1999.0,35500.0,C230,0,0,0,0,1,0,400009252025
2006.0,14000.0,C280,0,0,0,0,1,0,425009232025
1999.0,30500.0,C43,1,0,0,0,1,0,1299909232025
2012.0,14000.0,C63,1,0,0,0,1,0,13000009192025
2008.0,25500.0,C300,0,0,0,0,1,1,1275009172025
2016.0,36000.0,C300,0,0,0,0,1,0,1807709152025
2015.0,30500.0,C400,0,0,0,0,1,0,1600009142025
2007.0,38000.0,C280,0,0,0,0,1,0,542509092025
2009.0,2200.0,C63,1,0,0,0,1,0,3375009022025
1995.0,33000.0,C36,1,0,0,0,1,0,777709022025
2000.0,30500.0,C220,0,1,0,0,0,1,3400009012025
2002.0,22000.0,C230,0,0,1,0,0,0,690008272025
1995.0,33000.0,C280,0,0,0,0,1,0,690008262025
2013.0,30000.0,C300,0,0,0,0,1,0,1455008202025
2006.0,14000.0,C280,0,0,0,0,1,0,890008182025
2019.0,13000.0,C63,1,0,1,0,0,0,5900008182025
2017.0,14000.0,C63,1,0,0,1,0,0,4325008172025
1999.0,19000.0,C280,0,0,0,0,1,0,585008152025
2005.0,34000.0,C55,1,0,0,0,1,0,2705508142025
1995.0,33000.0,C36,1,0,0,0,1,0,995008142025
2004.0,32000.0,C240,0,1,0,0,0,0,390008132025
2010.0,32000.0,C300,0,0,0,0,1,0,1400008042025
2014.0,14000.0,C63,1,0,1,0,0,0,2625008022025
2012.0,9000.0,C63,1,0,0,0,1,0,15000007302025
2006.0,14000.0,C280,0,0,0,0,1,0,605507292025
2001.0,40000.0,C240,0,0,0,0,1,0,600007252025
2005.0,22000.0,C230,0,0,1,0,0,0,830007242025
2005.0,35000.0,C230,0,0,0,0,1,0,1180007202025
2004.0,33000.0,C230,0,0,0,0,1,1,1000007202025
1997.0,41000.0,C230,0,0,0,0,1,0,610007182025
2003.0,40000.0,C32,1,0,0,0,1,0,1275007182025
2009.0,3500.0,C63,1,0,0,0,1,0,3750007112025
2015.0,29000.0,C63,1,0,0,0,1,0,3580507092025
2005.0,35000.0,C230,0,0,0,0,1,1,320007092025
2014.0,11000.0,C63,1,0,0,0,1,0,4806307092025
2004.0,32000.0,C240,0,1,0,0,0,0,500007032025
2014.0,14000.0,C63,1,0,0,0,1,0,3125007022025
2005.0,50000.0,C240,0,0,0,0,1,0,900006302025
2012.0,26000.0,C63,1,0,0,0,1,0,3850006242025
2006.0,17000.0,C230,0,0,0,0,1,0,944406122025
2009.0,33000.0,C63,1,0,0,0,1,0,2525006112025
2017.0,14000.0,C63,1,0,0,1,0,0,4105006102025
2007.0,38000.0,C280,0,0,0,0,1,0,610006102025
2008.0,30500.0,C250,0,0,0,0,1,0,495006102025
1999.0,30500.0,C43,1,1,0,0,0,0,2420206052025
2005.0,46500.0,C240,0,0,0,0,1,0,890005302025
2007.0,30500.0,C350,0,0,0,0,1,0,965005132025
2010.0,5000.0,C63,1,1,0,0,0,0,2600005122025
2017.0,28000.0,C300,0,0,0,1,0,0,2400005102025
2009.0,17000.0,C350,0,0,0,0,1,0,1540005092025
2013.0,27000.0,C63,1,0,0,0,1,0,4300005062025
2018.0,30500.0,C43,1,0,0,0,1,0,1700004302025
1995.0,44000.0,C220,0,0,0,0,1,0,470004292025
2013.0,39000.0,C63,1,0,1,0,0,0,2950004262025
2009.0,25000.0,C63,1,0,0,0,1,0,1575004242025
2015.0,2600.0,C63,1,0,1,0,0,0,7500004232025
2016.0,40000.0,C63,1,0,0,0,1,0,3700004162025
2013.0,6542.5,C250,0,0,0,0,1,0,680004072025
2014.0,14000.0,C63,1,0,1,0,0,0,3850004062025
2004.0,30000.0,C230,0,0,0,0,1,0,665003292025
2005.0,37500.0,C55,1,0,0,0,1,0,1700003242025
1999.0,30500.0,C43,1,0,0,0,1,0,2550003222025
